Player ID, trial, timestamp, x, y, rotx, roty
,3,74.27112,28.1872,-66.11257,90.29114,1.596642
,3,74.62146,29.58777,-66.11389,89.49036,1.771788
,3,74.97168,30.98821,-66.10085,89.46533,1.771788
,3,75.32202,32.38863,-66.0872,89.34021,1.796809
,3,75.67236,33.7886,-66.05727,87.63855,2.12208
,3,76.02258,35.18762,-65.99958,87.63855,2.12208
,3,76.37292,36.5829,-65.88872,83.53552,2.096784
,3,76.72314,37.97425,-65.73116,83.6106,1.921638
,3,77.07349,39.36894,-65.59969,85.38733,-0.4803621
,3,77.42383,40.76549,-65.48658,85.31226,-0.4553413
,3,77.77405,42.16173,-65.36977,85.18713,-0.4553413
,3,78.12439,43.55792,-65.25222,85.18713,-0.4553413
,3,78.47461,44.95428,-65.13696,85.81274,-0.4553413
,3,78.82495,46.35272,-65.05064,86.73865,-0.5304042
,3,79.17529,47.75156,-64.97093,86.73865,-0.5304042
,3,79.52551,49.1504,-64.89122,86.73865,-0.5304042
,3,79.87585,50.54924,-64.81152,86.73865,-0.5304042
,3,80.22607,51.94807,-64.7318,86.73865,-0.5304042
,3,80.57642,53.34691,-64.65209,86.73865,-0.5304042
,3,80.92664,54.74575,-64.57238,86.73865,-0.5304042
,3,81.27698,56.14459,-64.49267,86.73865,-0.5304042
,3,81.62732,57.53261,-64.35012,67.47168,2.072154
,3,81.97754,58.62829,-63.48968,46.2113,5.399502
,3,82.32788,58.88036,-62.16735,0.675415,6.826086
,3,82.6781,58.63105,-60.82779,325.0453,-0.8302897
,3,83.02844,58.1996,-60.45938,306.5551,-1.931207
,3,83.37878,58.05102,-60.20339,343.9615,-3.857787
,3,83.729,57.71495,-58.91768,345.3628,-3.482474
,3,84.07935,57.85102,-57.59306,33.92834,-6.660119
,3,84.42957,58.65147,-56.45638,43.73706,-7.660846
,3,84.77991,59.82642,-55.75756,74.31262,-7.785956
,3,85.13025,61.18023,-55.42604,69.38293,-3.482322
,3,85.48047,62.03625,-54.36533,28.04858,1.997246
,3,85.83081,62.56418,-53.07521,11.20959,1.496831
,3,86.18103,62.58229,-51.67735,355.4717,-0.179567
,3,86.53137,62.30432,-50.30708,343.1868,-1.505672
,3,86.88171,61.8605,-48.9794,341.0847,-2.731694
,3,87.23193,61.40596,-47.65571,340.6343,-2.806756
,3,87.58228,61.14321,-46.38995,338.8075,-2.681652
,3,87.9325,61.6769,-44.90011,333.803,-2.33136
,3,88.28284,61.56866,-43.29208,295.3959,-5.433946
,3,88.63306,60.8224,-41.78009,284.3618,-4.157883
,3,88.9834,60.8436,-40.65279,284.3618,-3.632445
